"Var1","Var2","r","p","Significance"
"CD107a-Granzyme B+Perforin-","NKG2C-",-0.28,0.18,""
"CD107a-Granzyme B-Perforin+","NKG2C-",0.15,0.47,""
"NKG2A+NKG2C-NKG2D+","NKG2C-",0.17,0.42,""
"Perforin-","NKG2D-",0.64,0.00052,"***"
"CD107a+Granzyme B+Perforin+","NKG2D-",0.13,0.54,""
"CD107a-Granzyme B+Perforin+","NKG2D-",-0.18,0.38,""
"CD107a-Granzyme B+Perforin-","NKG2D-",0.65,0.00048,"***"
"CD107a-Granzyme B-Perforin+","NKG2D-",-0.07,0.74,""
"NKG2A+NKG2C-NKG2D+","NKG2D-",-0.53,0.0062,"**"
"CD107a+Granzyme B+Perforin+","Perforin-",0.19,0.35,""
"CD107a-Granzyme B+Perforin+","Perforin-",-0.48,0.016,"*"
"CD107a-Granzyme B+Perforin-","Perforin-",0.83,3.4e-07,"***"
"CD107a-Granzyme B-Perforin+","Perforin-",0.24,0.25,""
"NKG2A+NKG2C-NKG2D+","Perforin-",-0.41,0.042,"*"
"CD107a-Granzyme B+Perforin+","CD107a+Granzyme B+Perforin+",-0.72,4.7e-05,"***"
"CD107a-Granzyme B+Perforin-","CD107a+Granzyme B+Perforin+",0.3,0.14,""
"CD107a-Granzyme B-Perforin+","CD107a+Granzyme B+Perforin+",0.1,0.63,""
"NKG2A+NKG2C-NKG2D+","CD107a+Granzyme B+Perforin+",0.05,0.79,""
"CD107a-Granzyme B+Perforin-","CD107a-Granzyme B+Perforin+",-0.26,0.21,""
"CD107a-Granzyme B-Perforin+","CD107a-Granzyme B+Perforin+",-0.72,5.1e-05,"***"
"NKG2A+NKG2C-NKG2D+","CD107a-Granzyme B+Perforin+",-0.02,0.93,""
"CD107a-Granzyme B-Perforin+","CD107a-Granzyme B+Perforin-",-0.17,0.42,""
"NKG2A+NKG2C-NKG2D+","CD107a-Granzyme B+Perforin-",-0.45,0.026,"*"
"NKG2A+NKG2C-NKG2D+","CD107a-Granzyme B-Perforin+",0.11,0.59,""
