"Var1","Var2","r","p","Significance"
"TNFa","NKG2C",0.17,0.32,""
"CD107a-","NKG2C",-0.03,0.87,""
"Granzyme B-","NKG2C",-0.07,0.68,""
"NKG2A-","NKG2C",0.02,0.89,""
"NKG2C-","NKG2C",-1,0,"***"
"NKG2D-","NKG2C",0.11,0.52,""
"Perforin-","NKG2C",0.21,0.22,""
"CD107a+Granzyme B+Perforin+","NKG2C",-0.01,0.98,""
"CD107a-Granzyme B+Perforin+","NKG2C",-0.02,0.91,""
"CD107a-Granzyme B+Perforin-","NKG2C",0.24,0.15,""
"CD107a-Granzyme B-Perforin+","NKG2C",-0.02,0.9,""
"NKG2A+NKG2C-NKG2D+","NKG2C",-0.08,0.64,""
"NKp30","NKG2D",-0.24,0.15,""
"Perforin","NKG2D",0.66,7.8e-06,"***"
"Siglec-7","NKG2D",0.36,0.03,"*"
"TIGIT","NKG2D",-0.36,0.028,"*"
"TNFa","NKG2D",0.33,0.045,"*"
"CD107a-","NKG2D",-0.16,0.34,""
"Granzyme B-","NKG2D",0,0.98,""
"NKG2A-","NKG2D",-0.58,0.00019,"***"
"NKG2C-","NKG2D",0.11,0.53,""
"NKG2D-","NKG2D",-1,0,"***"
"Perforin-","NKG2D",-0.68,3e-06,"***"
"CD107a+Granzyme B+Perforin+","NKG2D",0.27,0.11,""
"CD107a-Granzyme B+Perforin+","NKG2D",0.01,0.95,""
"CD107a-Granzyme B+Perforin-","NKG2D",-0.74,2.1e-07,"***"
"CD107a-Granzyme B-Perforin+","NKG2D",0.01,0.93,""
"NKG2A+NKG2C-NKG2D+","NKG2D",0.59,0.00011,"***"
"Perforin","NKp30",-0.05,0.75,""
"Siglec-7","NKp30",0.38,0.021,"*"
"TIGIT","NKp30",0.56,0.00028,"***"
"TNFa","NKp30",-0.01,0.97,""
"CD107a-","NKp30",-0.15,0.38,""
"Granzyme B-","NKp30",0.2,0.24,""
"NKG2A-","NKp30",0.18,0.28,""
"NKG2C-","NKp30",0.19,0.27,""
"NKG2D-","NKp30",0.25,0.14,""
"Perforin-","NKp30",0.07,0.7,""
"CD107a+Granzyme B+Perforin+","NKp30",0.13,0.43,""
"CD107a-Granzyme B+Perforin+","NKp30",-0.2,0.24,""
"CD107a-Granzyme B+Perforin-","NKp30",0.03,0.87,""
"CD107a-Granzyme B-Perforin+","NKp30",0.2,0.24,""
"NKG2A+NKG2C-NKG2D+","NKp30",-0.16,0.34,""
"Siglec-7","Perforin",0.38,0.022,"*"
"TIGIT","Perforin",-0.15,0.37,""
"TNFa","Perforin",0.1,0.55,""
"CD107a-","Perforin",0.25,0.14,""
"Granzyme B-","Perforin",-0.31,0.06,""
"NKG2A-","Perforin",-0.35,0.032,"*"
"NKG2C-","Perforin",0.13,0.45,""
"NKG2D-","Perforin",-0.66,7.8e-06,"***"
"Perforin-","Perforin",-0.97,0,"***"
"CD107a+Granzyme B+Perforin+","Perforin",-0.1,0.54,""
"CD107a-Granzyme B+Perforin+","Perforin",0.46,0.0047,"**"
"CD107a-Granzyme B+Perforin-","Perforin",-0.81,1.3e-09,"***"
"CD107a-Granzyme B-Perforin+","Perforin",-0.2,0.25,""
"NKG2A+NKG2C-NKG2D+","Perforin",0.36,0.028,"*"
"TIGIT","Siglec-7",0.23,0.17,""
"TNFa","Siglec-7",0.34,0.041,"*"
"CD107a-","Siglec-7",0.04,0.81,""
"Granzyme B-","Siglec-7",0.04,0.8,""
"NKG2A-","Siglec-7",-0.36,0.027,"*"
"NKG2C-","Siglec-7",0.31,0.064,""
"NKG2D-","Siglec-7",-0.36,0.029,"*"
"Perforin-","Siglec-7",-0.33,0.047,"*"
"CD107a+Granzyme B+Perforin+","Siglec-7",0,0.98,""
"CD107a-Granzyme B+Perforin+","Siglec-7",0.08,0.62,""
"CD107a-Granzyme B+Perforin-","Siglec-7",-0.43,0.008,"**"
"CD107a-Granzyme B-Perforin+","Siglec-7",0.01,0.94,""
"NKG2A+NKG2C-NKG2D+","Siglec-7",0.37,0.024,"*"
"TNFa","TIGIT",-0.14,0.42,""
"CD107a-","TIGIT",-0.14,0.41,""
"Granzyme B-","TIGIT",0.32,0.056,""
"NKG2A-","TIGIT",0.1,0.54,""
"NKG2C-","TIGIT",0.14,0.42,""
"NKG2D-","TIGIT",0.36,0.027,"*"
"Perforin-","TIGIT",0.16,0.34,""
"CD107a+Granzyme B+Perforin+","TIGIT",0.11,0.53,""
"CD107a-Granzyme B+Perforin+","TIGIT",-0.26,0.12,""
"CD107a-Granzyme B+Perforin-","TIGIT",0.05,0.78,""
"CD107a-Granzyme B-Perforin+","TIGIT",0.35,0.035,"*"
"NKG2A+NKG2C-NKG2D+","TIGIT",-0.08,0.65,""
"CD107a-","TNFa",-0.35,0.035,"*"
"Granzyme B-","TNFa",0.31,0.058,""
"NKG2A-","TNFa",-0.53,0.00068,"***"
"NKG2C-","TNFa",-0.17,0.32,""
"NKG2D-","TNFa",-0.33,0.045,"*"
"Perforin-","TNFa",-0.06,0.71,""
"CD107a+Granzyme B+Perforin+","TNFa",0.36,0.028,"*"
"CD107a-Granzyme B+Perforin+","TNFa",-0.33,0.049,"*"
"CD107a-Granzyme B+Perforin-","TNFa",-0.24,0.15,""
"CD107a-Granzyme B-Perforin+","TNFa",0.27,0.11,""
"NKG2A+NKG2C-NKG2D+","TNFa",0.5,0.0017,"**"
"Granzyme B-","CD107a-",-0.49,0.0023,"**"
"NKG2A-","CD107a-",0.15,0.38,""
"NKG2C-","CD107a-",0.03,0.87,""
"NKG2D-","CD107a-",0.16,0.36,""
"Perforin-","CD107a-",-0.19,0.26,""
"CD107a+Granzyme B+Perforin+","CD107a-",-0.99,0,"***"
"CD107a-Granzyme B+Perforin+","CD107a-",0.93,0,"***"
"CD107a-Granzyme B+Perforin-","CD107a-",0.08,0.63,""
"CD107a-Granzyme B-Perforin+","CD107a-",-0.42,0.0097,"**"
"NKG2A+NKG2C-NKG2D+","CD107a-",-0.16,0.34,""
"NKG2A-","Granzyme B-",0.04,0.81,""
"NKG2C-","Granzyme B-",0.07,0.68,""
"NKG2D-","Granzyme B-",0,1,""
"Perforin-","Granzyme B-",0.27,0.1,""
"CD107a+Granzyme B+Perforin+","Granzyme B-",0.4,0.015,"*"
"CD107a-Granzyme B+Perforin+","Granzyme B-",-0.73,2.5e-07,"***"
"CD107a-Granzyme B+Perforin-","Granzyme B-",-0.15,0.36,""
"CD107a-Granzyme B-Perforin+","Granzyme B-",0.95,0,"***"
"NKG2A+NKG2C-NKG2D+","Granzyme B-",-0.03,0.84,""
"NKG2C-","NKG2A-",-0.02,0.89,""
"NKG2D-","NKG2A-",0.58,0.00019,"***"
"Perforin-","NKG2A-",0.4,0.013,"*"
"CD107a+Granzyme B+Perforin+","NKG2A-",-0.21,0.21,""
"CD107a-Granzyme B+Perforin+","NKG2A-",0.04,0.81,""
"CD107a-Granzyme B+Perforin-","NKG2A-",0.37,0.024,"*"
"CD107a-Granzyme B-Perforin+","NKG2A-",0,0.98,""
"NKG2A+NKG2C-NKG2D+","NKG2A-",-1,0,"***"
"NKG2D-","NKG2C-",-0.11,0.52,""
"Perforin-","NKG2C-",-0.21,0.22,""
"CD107a+Granzyme B+Perforin+","NKG2C-",0,0.98,""
"CD107a-Granzyme B+Perforin+","NKG2C-",0.02,0.91,""
"CD107a-Granzyme B+Perforin-","NKG2C-",-0.24,0.15,""
"CD107a-Granzyme B-Perforin+","NKG2C-",0.02,0.9,""
"NKG2A+NKG2C-NKG2D+","NKG2C-",0.08,0.65,""
"Perforin-","NKG2D-",0.68,3.1e-06,"***"
"CD107a+Granzyme B+Perforin+","NKG2D-",-0.26,0.12,""
"CD107a-Granzyme B+Perforin+","NKG2D-",-0.02,0.92,""
"CD107a-Granzyme B+Perforin-","NKG2D-",0.73,2.2e-07,"***"
"CD107a-Granzyme B-Perforin+","NKG2D-",-0.01,0.95,""
"NKG2A+NKG2C-NKG2D+","NKG2D-",-0.59,0.00011,"***"
"CD107a+Granzyme B+Perforin+","Perforin-",0.05,0.76,""
"CD107a-Granzyme B+Perforin+","Perforin-",-0.39,0.017,"*"
"CD107a-Granzyme B+Perforin-","Perforin-",0.82,7.2e-10,"***"
"CD107a-Granzyme B-Perforin+","Perforin-",0.14,0.41,""
"NKG2A+NKG2C-NKG2D+","Perforin-",-0.42,0.0097,"**"
"CD107a-Granzyme B+Perforin+","CD107a+Granzyme B+Perforin+",-0.87,3.8e-12,"***"
"CD107a-Granzyme B+Perforin-","CD107a+Granzyme B+Perforin+",-0.19,0.27,""
"CD107a-Granzyme B-Perforin+","CD107a+Granzyme B+Perforin+",0.35,0.035,"*"
"NKG2A+NKG2C-NKG2D+","CD107a+Granzyme B+Perforin+",0.23,0.18,""
"CD107a-Granzyme B+Perforin-","CD107a-Granzyme B+Perforin+",-0.04,0.82,""
"CD107a-Granzyme B-Perforin+","CD107a-Granzyme B+Perforin+",-0.66,8.3e-06,"***"
"NKG2A+NKG2C-NKG2D+","CD107a-Granzyme B+Perforin+",-0.05,0.77,""
"CD107a-Granzyme B-Perforin+","CD107a-Granzyme B+Perforin-",-0.2,0.24,""
"NKG2A+NKG2C-NKG2D+","CD107a-Granzyme B+Perforin-",-0.39,0.016,"*"
"NKG2A+NKG2C-NKG2D+","CD107a-Granzyme B-Perforin+",0.01,0.95,""
